K;#¿NOMBRE?;Depth (m);Concentracion volumetrica total (ppm)
3;500;6.74601;259.475
3;500;6.68164;250.5825
3;500;6.14953;254.1703
3;500;5.51019;258.1569
3;500;4.98961;263.031
3;500;4.62923;245.0149
3;500;3.85927;254.8778
3;500;2.99444;243.1514
3;500;2.45519;242.4388
3;500;1.95924;261.8256
3;500;1.34027;278.8095
3;500;1.241;253.5613
3;500;0.40328;260.3003
3;500;0.58283;465.8529
3;500;0.52173;111.667
3;500;0.22529;108.013
5;500;6.8819;269.7485
5;500;6.82249;284.5081
5;500;6.83542;237.4463
5;500;6.78429;272.5173
5;500;6.79389;238.9373
5;500;6.75657;252.4051
5;500;6.74091;232.7812
5;500;6.58366;221.8499
5;500;6.29089;251.0962
5;500;6.38089;257.6912
5;500;5.85417;260.3257
5;500;5.48898;245.0575
5;500;5.32775;232.7719
5;500;5.4399;225.4562
5;500;5.12232;240.0447
5;500;4.55002;231.9657
5;500;4.22725;225.6943
5;500;3.90782;240.7581
5;500;3.52506;251.0142
5;500;3.13639;217.982
5;500;2.86299;227.3762
5;500;2.49997;218.9225
5;500;1.94505;207.5293
5;500;1.59385;206.4481
5;500;1.27938;206.3416
5;500;1.1981;198.704
5;500;0.91592;202.7666
5;500;0.545;199.0064
5;500;0.55394;200.6776
5;500;0.55904;201.0072
5;500;0.46217;203.2208
5;500;0.45242;199.1858
5;500;0.40085;187.9468
5;500;0.48227;128.9477
5;500;0.4734;104.0559
5;500;0.24317;92.2017
7;900;8.9447;256.2157
7;900;8.15721;261.4227
7;900;7.77752;289.9748
7;900;7.62781;259.1738
7;900;7.60069;243.8164
7;900;7.6097;271.9364
7;900;7.67414;241.672
7;900;7.8977;250.9956
7;900;6.50467;259.3486
7;900;6.24936;257.44
7;900;5.71473;241.4847
7;900;5.49837;229.7892
7;900;4.90212;237.0915
7;900;4.27743;237.1229
7;900;3.54301;236.0401
7;900;2.79523;267.935
7;900;2.7931;242.95
7;900;1.13485;293.3151
7;900;0.30102;262.4987
7;900;0.40535;274.8246
7;900;0.42678;371.8538
7;900;0.17342;126.3491
11;200;5.20176;317.16
11;200;4.88727;302.9034
11;200;4.94675;263.0941
11;200;4.77273;259.6875
11;200;4.69418;262.1022
11;200;4.46297;250.2627
11;200;3.53592;278.4204
11;200;2.82597;241.9222
11;200;2.2663;247.2914
11;200;1.59866;243.3328
11;200;0.99587;246.8937
11;200;0.5269;214.9784
11;200;0.6115;222.8191
11;200;0.56111;217.9474
11;200;0.60478;221.7582
11;200;0.5648;211.3671
11;200;0.18413;204.9305
14;800;8.30788;248.0593
14;800;7.89369;245.9539
14;800;7.45533;239.105
14;800;7.12694;237.0384
14;800;6.5388;231.2575
14;800;5.88114;235.4399
14;800;5.20811;244.5445
14;800;4.63211;235.2661
14;800;3.91779;226.9024
14;800;3.34225;224.7498
14;800;2.68706;229.9046
14;800;2.10805;212.8627
14;800;1.60435;235.5858
14;800;0.96122;239.1571
14;800;0.63293;219.2971
14;800;0.58631;205.4774
14;800;0.58269;223.2695
14;800;0.48493;204.0867
14;800;0.21834;184.818
17;600;7.4026;254.2312
17;600;7.24177;239.5955
17;600;6.91427;254.009
17;600;6.54265;257.0134
17;600;6.15063;249.6552
17;600;5.70919;232.3722
17;600;5.5212;230.6192
17;600;4.83946;218.4844
17;600;4.39122;227.9374
17;600;3.73853;197.0806
17;600;3.4004;180.8675
17;600;3.16358;214.0021
17;600;2.66164;229.5668
17;600;2.43058;209.834
17;600;2.12135;219.7267
17;600;1.42886;231.7627
17;600;0.90159;239.4593
17;600;0.64239;194.8654
17;600;0.58165;194.3625
17;600;0.60707;187.7367
17;600;0.59281;215.3927
17;600;0.32999;179.9091
18;200;7.6354;253.6177
18;200;7.11083;230.9903
18;200;6.76603;246.7167
18;200;6.91855;249.7047
18;200;6.55447;241.5396
18;200;6.21071;245.3709
18;200;5.77939;260.9949
18;200;5.3114;251.7471
18;200;4.54425;252.8172
18;200;4.16622;238.2158
18;200;3.91218;256.8835
18;200;3.50348;250.775
18;200;2.76538;247.2799
18;200;2.76117;256.1391
18;200;2.22908;256.3244
18;200;1.97875;236.2961
18;200;1.52144;244.9802
18;200;1.30147;222.5192
18;200;0.81174;231.9335
18;200;0.46579;236.4259
18;200;0.53074;259.7354
18;200;0.54944;230.0429
18;200;0.28085;194.9739
19;800;7.66498;238.3213
19;800;7.43649;219.9158
19;800;7.39348;226.7168
19;800;7.11445;236.763
19;800;6.5623;227.3663
19;800;5.94816;226.5407
19;800;5.67933;206.7768
19;800;5.16481;220.5602
19;800;4.58098;227.6934
19;800;4.19858;226.9242
19;800;3.82572;223.2947
19;800;3.48589;219.6378
19;800;2.97959;218.7417
19;800;2.54083;215.5494
19;800;2.32588;235.7746
19;800;2.7828;233.2284
19;800;1.70351;244.5292
19;800;1.21089;235.324
19;800;0.97518;221.6964
19;800;0.71236;221.6153
19;800;0.64704;230.7242
19;800;0.6995;219.0958
19;800;0.75263;238.7909
19;800;0.68524;219.1148
19;800;0.28588;213.2736
19;800;0.32001;221.5404
19;800;0.40986;228.2623
19;800;0.15391;253.4735
19;940;7.1085;251.2454
19;940;6.99711;230.7771
19;940;6.4273;232.6906
19;940;6.20192;223.3729
19;940;5.47642;214.9418
19;940;5.55578;244.4456
19;940;5.17087;218.4677
19;940;4.59613;238.4289
19;940;4.11235;227.9015
19;940;3.3755;233.7782
19;940;2.99747;227.7743
19;940;2.44965;227.1934
19;940;2.13606;234.6801
19;940;1.50253;220.5458
19;940;1.13618;248.8493
19;940;0.33036;244.3182
19;940;0.51678;254.239
19;940;0.57064;252.8887
19;940;0.16751;328.2466
